,ID_show,nombre_habitat,cantidad_especies,tipo_ambiente,permite_alimentos,comercio,aforo
0,H001,Selva Tropical,1.0,Cerrado,False,False,39.0
1,H002,Sabana Dorada,2.0,Mixto,NULL,False,40.0
2,H003,Caverna de los Murciélagos,1.0,NULL,True,True,43.0
3,H004,NULL,4.0,Abierto,True,True,NULL
4,H005,Bosque Templado,3.0,Abierto,False,False,48.0
5,H006,Rincón de los Reptiles,NULL,Mixto,False,True,40.0
6,H007,Altas Cumbres,2.0,Abierto,False,False,38.0
7,H008,Mares Profundos,2.0,Abierto,True,True,35.0
8,H009,Isla de los Primates,1.0,Cerrado,False,NULL,32.0
9,H010,Valle del Tigre,3.0,Mixto,True,True,31.0
10,H011,Estepa Salvaje,3.0,Mixto,False,False,42.0
11,H012,Refugio del Panda,3.0,Mixto,False,False,31.0
12,H013,Jardín de las Mariposas,4.0,Cerrado,False,True,34.0
13,H014,Desierto Rojo,3.0,Cerrado,True,True,35.0
14,H015,Granja Interactiva,4.0,Cerrado,True,False,39.0
15,H016,La Antártida Viva,1.0,Cerrado,False,False,32.0
16,H017,Bosque de Koalas,3.0,Cerrado,False,True,36.0
17,H018,Zona Nocturna,2.0,Cerrado,True,False,32.0
